# Map size
101,201
# NbPlayers = 2
2
# limites
80,80,80
#config
500,50,500
#Les 4 bords
W,100,0,100,200
W,0,0,0,200
W,0,0,100,0
W,0,200,100,200
#coin gauche
W,70,40,70,50
W,66,40,66,50
W,44,40,44,50
W,40,40,40,50
W,41,40,43,40
W,67,40,69,40
W,45,50,65,50
W,44,54,66,54
#coin droit
W,70,150,70,160
W,66,150,66,160
W,44,150,44,160
W,40,150,40,160
W,41,160,43,160
W,67,160,69,160
W,45,150,65,150
W,44,146,66,146
#coin bas
W,1,70,20,70
W,10,80,20,80
W,10,120,20,120
W,1,130,20,130
W,20,81,20,119

# Player 0 buildings
B,S,0,50,43
B,J,0,60,43
B,F,0,55,47

# Player 1 buildings
B,S,1,50,157
B,J,1,60,157
B,F,1,55,153

# Neutral buildings
N,S,50,100
N,V,80,100

# Player 0 fruits
F,C,0,1,4
F,C,0,3,4
F,C,0,5,4
F,C,0,7,4
F,C,0,9,4
F,C,0,11,4
F,C,0,13,4
F,C,0,15,4
F,C,0,17,4
F,C,0,19,4
F,C,0,21,4
F,C,0,23,4
F,C,0,25,4
F,C,0,27,4
F,C,0,29,4
F,C,0,31,4
F,C,0,33,4
F,C,0,35,4
F,C,0,37,4
F,C,0,39,4
F,C,0,41,4
F,C,0,43,4
F,C,0,45,4
F,C,0,47,4
F,C,0,49,4
F,C,0,51,4
F,C,0,53,4
F,C,0,55,4
F,C,0,57,4
F,C,0,59,4
F,C,0,61,4
F,C,0,63,4
F,C,0,65,4
F,C,0,67,4
F,C,0,69,4
F,C,0,71,4
F,C,0,73,4
F,C,0,75,4
F,C,0,77,4
F,C,0,79,4
F,C,0,81,4
F,C,0,83,4
F,C,0,85,4
F,C,0,87,4
F,C,0,89,4
F,C,0,91,4
F,C,0,93,4
F,C,0,95,4
F,C,0,97,4
F,C,0,99,4

F,K,0,1,3
F,K,0,3,3
F,K,0,5,3
F,K,0,7,3
F,K,0,9,3
F,K,0,11,3
F,K,0,13,3
F,K,0,15,3
F,K,0,17,3
F,K,0,19,3
F,K,0,21,3
F,K,0,23,3
F,K,0,25,3
F,K,0,27,3
F,K,0,29,3
F,K,0,31,3
F,K,0,33,3
F,K,0,35,3
F,K,0,37,3
F,K,0,39,3
F,K,0,41,3
F,K,0,43,3
F,K,0,45,3
F,K,0,47,3
F,K,0,49,3
F,K,0,51,3
F,K,0,53,3
F,K,0,55,3
F,K,0,57,3
F,K,0,59,3
F,K,0,61,3
F,K,0,63,3
F,K,0,65,3
F,K,0,67,3
F,K,0,69,3
F,K,0,71,3
F,K,0,73,3
F,K,0,75,3
F,K,0,77,3
F,K,0,79,3
F,K,0,81,3
F,K,0,83,3
F,K,0,85,3
F,K,0,87,3
F,K,0,89,3
F,K,0,91,3
F,K,0,93,3
F,K,0,95,3
F,K,0,97,3
F,K,0,99,3

F,N,0,1,2
F,N,0,3,2
F,N,0,5,2
F,N,0,7,2
F,N,0,9,2
F,N,0,11,2
F,N,0,13,2
F,N,0,15,2
F,N,0,17,2
F,N,0,19,2
F,N,0,21,2
F,N,0,23,2
F,N,0,25,2
F,N,0,27,2
F,N,0,29,2
F,N,0,31,2
F,N,0,33,2
F,N,0,35,2
F,N,0,37,2
F,N,0,39,2
F,N,0,41,2
F,N,0,43,2
F,N,0,45,2
F,N,0,47,2
F,N,0,49,2
F,N,0,51,2
F,N,0,53,2
F,N,0,55,2
F,N,0,57,2
F,N,0,59,2
F,N,0,61,2
F,N,0,63,2
F,N,0,65,2
F,N,0,67,2
F,N,0,69,2
F,N,0,71,2
F,N,0,73,2
F,N,0,75,2
F,N,0,77,2
F,N,0,79,2
F,N,0,81,2
F,N,0,83,2
F,N,0,85,2
F,N,0,87,2
F,N,0,89,2
F,N,0,91,2
F,N,0,93,2
F,N,0,95,2
F,N,0,97,2
F,N,0,99,2

# Player 1 fruits
F,C,0,1,196
F,C,0,3,196
F,C,0,5,196
F,C,0,7,196
F,C,0,9,196
F,C,0,11,196
F,C,0,13,196
F,C,0,15,196
F,C,0,17,196
F,C,0,19,196
F,C,0,21,196
F,C,0,23,196
F,C,0,25,196
F,C,0,27,196
F,C,0,29,196
F,C,0,31,196
F,C,0,33,196
F,C,0,35,196
F,C,0,37,196
F,C,0,39,196
F,C,0,41,196
F,C,0,43,196
F,C,0,45,196
F,C,0,47,196
F,C,0,49,196
F,C,0,51,196
F,C,0,53,196
F,C,0,55,196
F,C,0,57,196
F,C,0,59,196
F,C,0,61,196
F,C,0,63,196
F,C,0,65,196
F,C,0,67,196
F,C,0,69,196
F,C,0,71,196
F,C,0,73,196
F,C,0,75,196
F,C,0,77,196
F,C,0,79,196
F,C,0,81,196
F,C,0,83,196
F,C,0,85,196
F,C,0,87,196
F,C,0,89,196
F,C,0,91,196
F,C,0,93,196
F,C,0,95,196
F,C,0,97,196
F,C,0,99,196

F,K,0,1,197
F,K,0,3,197
F,K,0,5,197
F,K,0,7,197
F,K,0,9,197
F,K,0,11,197
F,K,0,13,197
F,K,0,15,197
F,K,0,17,197
F,K,0,19,197
F,K,0,21,197
F,K,0,23,197
F,K,0,25,197
F,K,0,27,197
F,K,0,29,197
F,K,0,31,197
F,K,0,33,197
F,K,0,35,197
F,K,0,37,197
F,K,0,39,197
F,K,0,41,197
F,K,0,43,197
F,K,0,45,197
F,K,0,47,197
F,K,0,49,197
F,K,0,51,197
F,K,0,53,197
F,K,0,55,197
F,K,0,57,197
F,K,0,59,197
F,K,0,61,197
F,K,0,63,197
F,K,0,65,197
F,K,0,67,197
F,K,0,69,197
F,K,0,71,197
F,K,0,73,197
F,K,0,75,197
F,K,0,77,197
F,K,0,79,197
F,K,0,81,197
F,K,0,83,197
F,K,0,85,197
F,K,0,87,197
F,K,0,89,197
F,K,0,91,197
F,K,0,93,197
F,K,0,95,197
F,K,0,97,197
F,K,0,99,197

F,N,0,1,198
F,N,0,3,198
F,N,0,5,198
F,N,0,7,198
F,N,0,9,198
F,N,0,11,198
F,N,0,13,198
F,N,0,15,198
F,N,0,17,198
F,N,0,19,198
F,N,0,21,198
F,N,0,23,198
F,N,0,25,198
F,N,0,27,198
F,N,0,29,198
F,N,0,31,198
F,N,0,33,198
F,N,0,35,198
F,N,0,37,198
F,N,0,39,198
F,N,0,41,198
F,N,0,43,198
F,N,0,45,198
F,N,0,47,198
F,N,0,49,198
F,N,0,51,198
F,N,0,53,198
F,N,0,55,198
F,N,0,57,198
F,N,0,59,198
F,N,0,61,198
F,N,0,63,198
F,N,0,65,198
F,N,0,67,198
F,N,0,69,198
F,N,0,71,198
F,N,0,73,198
F,N,0,75,198
F,N,0,77,198
F,N,0,79,198
F,N,0,81,198
F,N,0,83,198
F,N,0,85,198
F,N,0,87,198
F,N,0,89,198
F,N,0,91,198
F,N,0,93,198
F,N,0,95,198
F,N,0,97,198
F,N,0,99,198

# Equipments gauche
E,C,68,42
E,C,42,42
E,T,68,44
E,T,42,44
E,N,68,46
E,N,42,46
E,S,53,52
E,S,55,52
E,S,57,52
# Equipments droite
E,C,68,158
E,C,42,158
E,T,68,156
E,T,42,156
E,N,68,154
E,N,42,154
